All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly         # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    L50  LG50  L75   LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  # genomic features  Largest alignment  Total aligned length  NA50    NGA50   NA75    NGA75  LA50  LGA50  LA75  LGA75
41_C126_contigs  8437                 1870                    310                     74                       11                       4                        8631944                 6618258                    3103008                    1478470                     603931                      334779                      2943       122679          7384431       6498072           65.64   66.35             4040    4776    1940    2585    441  340   1106  810   25               21                      148961                       74                     0                         0                         41                        112 + 152 part       1273051           90.622               1.038              0.00               864.18                    14.84                 3911 + 1984 part    55410              6100774               2555    3072    851     1423   712   553    1943  1331 
42_B62_contigs   142                  39                      30                      28                       25                       24                       6399314                 6379056                    6360139                    6346475                     6297477                     6264706                     43         1073278         6381682       6498072           66.18   66.35             421396  304144  225713  200559  5    6     11    12    47               17                      5426484                      43                     0                         0                         1                         1 + 20 part          403315            91.915               1.001              0.00               556.48                    10.16                 5757 + 73 part      411742             5975896               164147  164147  71197   67547  14    14     28    29   
42_C127_contigs  126                  39                      32                      27                       22                       22                       6709317                 6691080                    6676521                    6645434                     6577080                     6577080                     44         1212976         6694797       6498072           66.18   66.35             497790  497790  247962  247962  4    4     9     9     64               16                      5953478                      71                     0                         0                         1                         15 + 20 part         663624            92.727               1.001              0.00               554.33                    11.73                 5786 + 99 part      293143             6029045               121811  127512  58762   63080  17    16     37    35   
43_B113_contigs  170                  37                      31                      30                       28                       24                       6452470                 6424371                    6405900                    6400093                     6364971                     6201630                     44         1091398         6429570       6498072           66.29   66.35             340573  340573  213085  213085  7    7     14    14    97               25                      6042424                      95                     0                         0                         0                         2 + 25 part          603331            89.586               1.001              0.00               2163.40                   45.37                 5507 + 138 part     400323             5823744               81854   79263   30367   30247  22    23     54    55   
43_C129_contigs  82                   32                      27                      25                       20                       17                       6244212                 6233041                    6223948                    6212100                     6129086                     6020379                     34         1332899         6234657       6498072           66.56   66.35             466207  454492  259850  233663  4    5     9     10    43               14                      5583545                      37                     0                         0                         0                         1 + 17 part          222286            92.469               1.001              0.00               533.11                    11.50                 5751 + 56 part      504654             6010875               160052  159102  93079   84572  11    12     25    28   
44_B114_contigs  96                   24                      20                      19                       19                       18                       6397361                 6379658                    6371558                    6366306                     6366306                     6331940                     32         1324720         6385673       6498072           66.48   66.35             547913  547913  278466  278466  4    4     8     8     68               14                      5982047                      59                     0                         0                         0                         3 + 14 part          342007            92.833               1.002              0.00               558.06                    10.74                 5782 + 97 part      501787             6040128               119694  117671  71117   70371  14    15     31    32   
44_C143_contigs  13677                2628                    120                     34                       15                       4                        9644831                 6297397                    1671417                    1084174                     789873                      411836                      4559       122083          7716616       6498072           65.27   66.35             2019    2418    1175    1527    892  616   2158  1475  26               26                      87402                        53                     0                         0                         45                        110 + 160 part       1461802           91.099               1.057              0.00               905.66                    16.10                 2844 + 3046 part    30938              6237320               1341    1592    668     978    1647  1232   3657  2532 
45_B191_contigs  75                   27                      26                      25                       24                       17                       6258058                 6246329                    6242034                    6236748                     6216399                     5920157                     33         1212200         6250422       6498072           66.56   66.35             639907  639907  286762  286762  4    4     8     8     50               15                      5680002                      46                     0                         0                         0                         0 + 16 part          244382            92.335               1.001              0.00               515.30                    10.50                 5724 + 66 part      385037             6002718               114310  114286  71433   63389  15    16     32    34   
45_C144_contigs  453                  277                     140                     107                      70                       43                       7619116                 7563815                    7274833                    7044145                     6480944                     5499716                     310        290541          7590407       6498072           65.28   66.35             110581  122463  44721   86044   23   18    48    34    46               38                      3204494                      66                     0                         0                         26                        36 + 138 part        1446148           93.764               1.008              0.00               965.62                    18.79                 5750 + 169 part     286483             6138379               58530   73130   12814   30376  34    26     98    59   
46_B199_contigs  223                  64                      50                      46                       39                       35                       6742269                 6708312                    6675463                    6646821                     6539143                     6377480                     77         431244          6717406       6498072           66.03   66.35             218652  218652  137973  142871  11   11    21    20    76               24                      5075122                      74                     0                         0                         1                         20 + 40 part         783028            91.183               1.002              0.00               1045.44                   19.92                 5681 + 114 part     286712             5933149               85759   86572   40097   45627  23    22     51    48   
46_C146_contigs  109                  36                      24                      23                       20                       19                       6933281                 6920140                    6892555                    6887515                     6833923                     6795748                     37         1237520         6920847       6498072           66.02   66.35             560891  642482  342061  392093  5    4     8     7     71               17                      6662844                      58                     0                         0                         0                         9 + 17 part          835118            93.541               1.001              0.00               546.38                    11.47                 5823 + 94 part      362092             6083249               118862  124136  51133   58274  18    16     40    35   
47_C148_contigs  113                  43                      32                      29                       27                       25                       6932364                 6920733                    6895037                    6875342                     6837273                     6761309                     44         791996          6921339       6498072           66.02   66.35             392093  392093  251060  263354  6    6     12    11    71               22                      6136949                      56                     0                         0                         1                         8 + 24 part          834007            93.558               1.001              0.00               546.38                    11.46                 5810 + 103 part     362092             6084986               108905  124019  50738   57560  18    16     42    37   
47_C63_contigs   188                  36                      28                      27                       25                       23                       6760709                 6727380                    6710605                    6705565                     6673056                     6603076                     44         709071          6733237       6498072           66.28   66.35             346983  346983  249626  268164  7    7     13    12    59               18                      5653581                      66                     0                         0                         1                         9 + 24 part          680600            93.036               1.001              0.00               547.50                    11.10                 5803 + 91 part      301830             6051525               112839  114570  64058   68538  17    16     36    33   
48_A3_contigs    215                  100                     79                      67                       58                       43                       6680610                 6656767                    6603676                    6520695                     6389366                     5865941                     109        606223          6662625       6498072           66.25   66.35             133722  133802  84618   84925   15   14    30    29    47               26                      3833337                      52                     0                         0                         3                         14 + 54 part         634084            92.655               1.001              0.00               572.65                    10.86                 5736 + 121 part     259030             6022068               94256   99531   39617   46686  24    23     50    47   
48_C66_contigs   106                  22                      16                      16                       15                       12                       6358780                 6340577                    6328174                    6328174                     6312236                     6193905                     25         972335          6342555       6498072           66.36   66.35             744948  744948  431420  431420  4    4     7     7     55               10                      5770059                      55                     0                         0                         0                         1 + 12 part          378659            91.727               1.001              0.00               546.01                    11.02                 5707 + 85 part      411521             5950820               169485  169485  98434   74391  12    12     24    26   
49_A4_contigs    248                  123                     96                      79                       60                       45                       6676326                 6645562                    6572905                    6452395                     6152372                     5628401                     139        457793          6656210       6498072           66.25   66.35             119642  119642  65855   76450   16   16    35    33    45               27                      3519249                      55                     0                         0                         3                         14 + 57 part         632913            92.594               1.001              0.00               575.05                    11.28                 5713 + 148 part     200996             6020133               76450   84712   33890   36717  27    26     56    52   
49_C69_contigs   84                   40                      35                      33                       28                       23                       6425099                 6415192                    6406087                    6393718                     6319637                     6108394                     44         810775          6418496       6498072           66.39   66.35             322680  322680  257218  257218  7    7     12    12    43               15                      4685771                      54                     0                         0                         3                         5 + 29 part          440707            91.947               1.001              0.00               570.10                    11.08                 5709 + 76 part      315415             5976413               138999  125290  72218   71134  14    15     31    32   
4_C10_contigs    1290                 1160                    449                     143                      8                        0                        6314532                 6227916                    4268286                    2142598                     218350                      0                           1256       28944           6301143       6498072           66.25   66.35             7210    7007    4202    3946    265  279   549   585   43               39                      390953                       48                     0                         0                         5                         83 + 78 part         565485            88.034               1.003              0.00               545.11                    11.05                 4590 + 1067 part    28944              5726134               6121    5965    3206    2950   302   318    652   700  
4_C77_contigs    153                  44                      38                      37                       35                       32                       6736499                 6712584                    6701499                    6696416                     6663610                     6560577                     49         667091          6716151       6498072           66.17   66.35             260002  260002  144978  165661  8    8     16    15    69               23                      5350726                      62                     0                         0                         0                         5 + 29 part          649908            93.177               1.002              0.00               948.60                    18.18                 5772 + 92 part      388114             6064259               99284   103595  52775   54656  22    21     46    42   
50_A5_contigs    194                  89                      65                      56                       48                       37                       6678482                 6658636                    6599106                    6534235                     6409160                     6006462                     91         944558          6660116       6498072           66.25   66.35             170156  170156  104693  104725  10   10    23    22    48               22                      3756961                      53                     0                         0                         5                         14 + 47 part         631507            92.640               1.001              0.00               575.12                    11.05                 5747 + 114 part     339315             6021437               102400  103802  54272   56162  20    19     42    40   
50_C23_contigs   183                  54                      41                      37                       33                       28                       6616002                 6590416                    6560660                    6534912                     6474523                     6285049                     60         570036          6594408       6498072           65.85   66.35             305352  308908  198372  198372  9    8     15    15    67               22                      5193000                      40                     0                         0                         0                         6 + 33 part          778470            89.376               1.001              0.00               544.31                    10.85                 5594 + 84 part      306592             5812825               90084   90811   51082   52514  21    20     45    44   
51_A46_contigs   102                  41                      34                      34                       31                       29                       6867437                 6855859                    6842169                    6842169                     6780645                     6703732                     43         987007          6857261       6498072           66.16   66.35             308621  308621  171077  204898  8    8     15    14    62               19                      5436236                      52                     0                         0                         0                         3 + 29 part          777664            93.481               1.001              0.00               539.62                    11.44                 5798 + 87 part      357805             6077464               115911  133324  54757   63946  18    16     38    34   
51_C25_contigs   140                  40                      30                      29                       28                       26                       6757505                 6733679                    6710904                    6702641                     6686907                     6596475                     50         671011          6740749       6498072           66.11   66.35             444497  444497  165456  209797  6    6     13    12    70               21                      6011416                      71                     0                         0                         1                         2 + 24 part          747968            92.129               1.001              0.00               974.16                    19.29                 5728 + 106 part     317055             5992024               102595  104525  48385   52953  20    19     46    42   
52_A48_contigs   171                  82                      69                      66                       53                       39                       6864157                 6847428                    6814981                    6797972                     6563099                     5999437                     84         388135          6848496       6498072           66.16   66.35             174639  178325  86104   108935  13   12    27    24    55               24                      3745662                      57                     0                         0                         1                         4 + 36 part          774516            93.356               1.001              0.00               540.19                    11.44                 5756 + 129 part     220899             6058005               89946   94237   32239   36899  25    23     60    52   
52_C29_contigs   163                  56                      43                      41                       39                       31                       6780878                 6755989                    6732634                    6717728                     6674271                     6353690                     69         660816          6764384       6498072           66.09   66.35             272904  272904  133850  163086  8    8     17    15    58               24                      5251291                      54                     0                         0                         2                         3 + 31 part          724420            92.837               1.001              0.00               575.17                    10.77                 5769 + 109 part     316673             6036522               94068   102414  47577   50645  20    18     45    41   
53_A52_contigs   140                  60                      51                      48                       42                       36                       6874472                 6861023                    6839576                    6818717                     6694534                     6457089                     60         722921          6861023       6498072           66.16   66.35             174662  178103  128967  136663  11   10    22    20    58               23                      4454000                      53                     0                         0                         1                         2 + 29 part          772164            93.505               1.002              0.00               544.42                    11.75                 5767 + 112 part     268474             6086134               90743   94239   40000   49629  25    23     51    45   
53_C30_contigs   139                  45                      33                      31                       29                       24                       6779822                 6758941                    6736033                    6721127                     6681982                     6459895                     53         1340359         6764312       6498072           66.09   66.35             303227  307658  210977  210977  6    5     12    12    61               19                      5495004                      57                     0                         0                         2                         4 + 25 part          724810            92.841               1.001              0.00               576.01                    10.84                 5781 + 102 part     316946             6037233               121820  131947  50645   62000  17    16     38    34   
54_A53_contigs   93                   39                      35                      34                       30                       25                       6874521                 6864012                    6852771                    6845788                     6772770                     6571658                     41         724059          6865330       6498072           66.16   66.35             317836  317836  219079  227564  7    7     14    13    68               19                      5453153                      54                     0                         0                         1                         2 + 23 part          773317            93.565               1.002              0.00               545.50                    12.12                 5782 + 96 part      440048             6078534               104475  108946  47986   56162  19    17     43    38   
54_C36_contigs   201                  65                      51                      42                       39                       35                       7124996                 7095485                    7061961                    7000412                     6942970                     6786396                     75         662519          7102784       6498072           65.74   66.35             236060  261591  131814  143976  9    8     20    16    69               26                      5606912                      67                     0                         0                         2                         17 + 33 part         1126571           91.817               1.002              0.00               966.40                    18.79                 5719 + 107 part     317067             5974069               88807   93151   33012   50755  23    20     56    45   
55_A54_contigs   150                  64                      58                      56                       49                       37                       6867229                 6850591                    6839093                    6827748                     6695819                     6232749                     67         847563          6852586       6498072           66.16   66.35             243192  243192  108936  118242  10   10    22    20    60               25                      4451930                      54                     0                         0                         0                         3 + 36 part          774388            93.424               1.001              0.00               538.15                    11.27                 5777 + 106 part     357805             6063762               101128  102693  38138   45583  21    19     50    43   
55_C42_contigs   182                  38                      31                      28                       27                       24                       6834702                 6804375                    6784419                    6765624                     6744903                     6637455                     48         1165793         6811084       6498072           66.10   66.35             413025  413025  239007  273201  5    5     10    9     65               17                      5914055                      56                     0                         0                         0                         15 + 19 part         845378            91.700               1.001              0.00               928.67                    18.85                 5698 + 95 part      375635             5963671               102417  104194  53689   63990  21    19     43    39   
56_A55_contigs   142                  34                      29                      29                       26                       23                       6876066                 6854119                    6842335                    6842335                     6783344                     6657310                     38         807357          6856486       6498072           66.16   66.35             421466  421466  229588  258555  6    6     12    11    65               17                      5821437                      54                     0                         0                         0                         2 + 22 part          776368            93.482               1.001              0.00               542.18                    12.05                 5794 + 86 part      485951             6066552               115910  124600  51042   58105  16    14     37    32   
56_C43_contigs   238                  154                     137                     121                      90                       54                       6674455                 6655273                    6611091                    6496084                     5979198                     4649535                     162        209885          6661155       6498072           66.27   66.35             70519   70883   42345   45974   33   32    62    59    46               35                      2350453                      49                     0                         0                         0                         20 + 61 part         560302            93.646               1.003              0.00               579.64                    12.80                 5765 + 155 part     181093             6087258               52769   55380   29367   31582  40    38     81    77   
57_A56_contigs   132                  40                      38                      37                       32                       27                       6874953                 6856008                    6849518                    6844307                     6748089                     6587009                     47         610409          6860137       6498072           66.16   66.35             347904  347904  173451  234660  8    8     15    13    68               19                      5253537                      54                     0                         0                         0                         2 + 24 part          774293            93.519               1.001              0.00               542.03                    11.80                 5792 + 90 part      276890             6072065               101744  104475  47526   57047  22    20     45    40   
57_C49_contigs   239                  50                      42                      39                       34                       31                       7133523                 7090861                    7072896                    7055721                     6969542                     6869857                     59         834728          7097281       6498072           65.90   66.35             301969  308827  157907  210297  8    7     16    13    68               23                      5742139                      53                     0                         0                         0                         12 + 28 part         1014486           93.541               1.001              0.00               541.10                    11.48                 5812 + 110 part     296244             6081517               91005   106170  40910   56086  24    20     51    42   
58_A58_contigs   111                  43                      37                      37                       33                       29                       6872126                 6855221                    6837384                    6837384                     6762444                     6602777                     53         779368          6861157       6498072           66.16   66.35             354537  423817  258519  271562  7    6     12    11    70               21                      5701474                      54                     0                         0                         0                         3 + 21 part          774357            93.519               1.002              0.00               541.72                    11.77                 5776 + 95 part      439618             6082954               97955   102695  46844   51042  20    18     45    39   
58_C51_contigs   166                  35                      30                      28                       26                       20                       6423434                 6393079                    6382490                    6367115                     6323401                     6097397                     44         1070617         6399359       6498072           66.31   66.35             357748  357748  234451  234451  5    5     11    11    59               17                      5758083                      54                     0                         0                         0                         6 + 23 part          475682            91.071               1.001              0.00               559.82                    11.44                 5697 + 84 part      326027             5922644               116222  116222  68918   62185  15    15     32    34   
59_A60_contigs   390                  274                     224                     173                      98                       40                       6858141                 6827450                    6667525                    6299442                     5067688                     3037653                     287        172114          6837220       6498072           66.15   66.35             43814   45622   24162   27863   49   45    101   91    50               33                      1566330                      56                     0                         0                         4                         11 + 56 part         770373            93.182               1.002              0.00               558.53                    11.00                 5637 + 226 part     134300             6054945               30805   31769   12017   14618  66    61     152   133  
59_C54_contigs   267                  119                     95                      87                       65                       39                       6777801                 6746158                    6692442                    6637089                     6257554                     5240629                     131        393249          6754519       6498072           65.83   66.35             130906  139320  56043   65894   16   15    36    33    48               32                      4246120                      41                     0                         0                         6                         34 + 52 part         894398            89.959               1.002              0.00               564.96                    11.00                 5624 + 102 part     244159             5850549               68391   70590   28989   31749  30    28     68    62   
5_C12_contigs    416                  282                     204                     158                      78                       38                       6928922                 6889372                    6695051                    6353155                     5020653                     3497483                     304        201981          6906196       6498072           66.06   66.35             50446   53954   22938   28155   38   34    85    73    50               31                      2000986                      52                     0                         0                         8                         10 + 52 part         861178            92.885               1.002              0.00               537.12                    11.22                 5578 + 339 part     158955             6041449               33095   34320   12304   14572  61    55     153   130  
5_C82_contigs    107                  39                      33                      31                       27                       24                       6773935                 6757457                    6746090                    6730960                     6670715                     6565926                     45         778001          6762091       6498072           66.14   66.35             386506  386506  214836  222847  6    6     12    11    63               20                      5894796                      65                     0                         0                         2                         1 + 28 part          773016            91.955               1.002              0.00               970.18                    21.29                 5679 + 105 part     286423             5983053               96634   103750  49441   53495  21    20     44    40   
60_A70_contigs   219                  134                     114                     100                      68                       48                       7045595                 7025256                    6964709                    6857890                     6338502                     5589586                     145        379733          7031970       6498072           66.15   66.35             106017  114257  56066   65513   20   17    43    36    59               32                      3631182                      53                     0                         0                         2                         3 + 38 part          772641            93.384               1.031              0.00               557.04                    11.95                 5700 + 180 part     233827             6255048               56036   60545   20374   29351  38    33     88    72   
60_C150_contigs  186                  50                      37                      33                       30                       26                       6807211                 6775587                    6747406                    6721607                     6668992                     6505876                     63         850442          6784263       6498072           66.09   66.35             353104  446482  156586  160313  6    5     14    12    77               21                      5931557                      68                     0                         0                         2                         12 + 26 part         777108            92.307               1.002              0.00               968.02                    18.87                 5751 + 109 part     317067             6005238               102585  104525  49494   53647  20    19     45    41   
61_A71_contigs   212                  139                     111                     97                       70                       51                       6860260                 6843401                    6765755                    6658875                     6191905                     5436699                     147        306823          6849449       6498072           66.14   66.35             92587   94788   55161   58836   22   20    46    41    62               30                      3471179                      53                     0                         0                         2                         2 + 39 part          772033            93.332               1.002              0.00               544.83                    11.87                 5689 + 193 part     293559             6073938               56029   58836   21597   25809  39    36     88    76   
61_C151_contigs  123                  56                      43                      41                       37                       28                       6478771                 6460570                    6434841                    6423233                     6348719                     6020031                     63         617544          6465010       6498072           66.57   66.35             270683  270683  161323  161323  9    9     17    17    38               20                      4824220                      48                     0                         0                         0                         7 + 32 part          486435            91.920               1.001              0.00               521.68                    10.73                 5723 + 82 part      378243             5976243               111784  111784  64379   64379  17    17     36    36   
62_A72_contigs   126                  52                      42                      42                       36                       28                       6869823                 6855970                    6828155                    6828155                     6711359                     6387755                     56         981193          6858499       6498072           66.16   66.35             272962  292207  209689  233148  9    8     15    14    63               20                      5131986                      51                     0                         0                         0                         7 + 28 part          775222            93.531               1.001              0.00               538.39                    11.34                 5791 + 88 part      357805             6082056               102693  108982  47994   53122  20    18     43    38   
62_C153_contigs  191                  76                      61                      55                       48                       39                       6957975                 6932381                    6903579                    6867672                     6745918                     6442816                     88         499808          6940385       6498072           66.13   66.35             176323  187652  114146  138495  12   11    24    21    59               22                      4228751                      52                     0                         0                         1                         18 + 44 part         838148            93.734               1.002              0.00               543.28                    10.28                 5793 + 98 part      277212             6096811               105154  106857  38892   50472  22    20     49    42   
63_A73_contigs   98                   32                      29                      29                       24                       23                       6872838                 6858838                    6847474                    6847474                     6745665                     6696757                     38         704131          6862394       6498072           66.16   66.35             372438  372438  299111  299111  7    7     12    12    67               18                      5988617                      52                     0                         0                         0                         2 + 21 part          776027            93.503               1.002              0.00               544.05                    11.93                 5792 + 92 part      485981             6085386               108946  117679  56161   68072  17    15     38    33   
63_C71_contigs   70                   27                      24                      23                       21                       18                       6265863                 6253803                    6245226                    6239011                     6200559                     6085867                     34         970420          6258478       6498072           66.56   66.35             464280  464280  271002  266471  5    5     9     10    53               17                      5934954                      57                     0                         0                         0                         0 + 19 part          300495            91.638               1.001              0.00               546.78                    11.77                 5695 + 72 part      376940             5944076               121809  114555  68917   58045  15    16     32    35   
64_A75_contigs   92                   36                      32                      32                       30                       27                       6872851                 6861550                    6852271                    6852271                     6817049                     6685300                     38         610424          6862817       6498072           66.16   66.35             341421  375910  226331  227669  8    7     14    13    67               22                      5824155                      53                     0                         0                         1                         3 + 23 part          775855            93.523               1.002              0.00               543.18                    12.04                 5787 + 83 part      375655             6073184               104786  110295  51042   58105  19    17     41    36   
64_C73_contigs   112                  23                      21                      20                       18                       18                       6692038                 6674867                    6672322                    6666844                     6628572                     6628572                     25         1267461         6676153       6498072           66.14   66.35             495780  506799  384925  384925  5    4     8     8     65               16                      6372257                      54                     0                         0                         0                         0 + 16 part          702747            91.841               1.001              0.00               541.57                    10.54                 5719 + 70 part      376150             5959865               117671  125700  68492   70371  16    15     34    32   
65_A76_contigs   96                   34                      32                      32                       29                       24                       6873807                 6862687                    6856186                    6856186                     6810764                     6608661                     34         1029601         6862687       6498072           66.16   66.35             375931  388835  204848  227667  7    6     13    12    67               19                      5734544                      53                     0                         0                         0                         2 + 20 part          772752            93.531               1.002              0.00               544.83                    12.11                 5788 + 86 part      440387             6075917               104786  115910  50581   56309  18    16     40    35   
65_C74_contigs   129                  29                      27                      25                       24                       18                       6386046                 6364642                    6359723                    6349244                     6333093                     6098595                     35         886342          6368757       6498072           66.45   66.35             496945  472067  270902  270902  5    6     10    10    57               18                      5867288                      59                     0                         0                         0                         0 + 19 part          288253            93.485               1.001              0.00               551.30                    11.61                 5811 + 93 part      384585             6078826               138384  138384  74770   73352  14    14     30    31   
66_A77_contigs   118                  33                      27                      25                       24                       20                       6786913                 6766612                    6754577                    6741949                     6718228                     6561462                     41         777284          6773173       6498072           66.16   66.35             515006  515006  268769  268769  6    6     10    10    72               20                      6457077                      54                     0                         0                         1                         3 + 21 part          688132            93.555               1.001              0.00               551.74                    10.25                 5832 + 108 part     317107             6082427               116264  118510  69301   73677  19    18     38    35   
66_C2_contigs    163                  47                      36                      32                       31                       28                       6748696                 6722589                    6699118                    6669765                     6654031                     6522100                     57         716506          6729853       6498072           66.16   66.35             308433  308433  165456  170526  7    7     14    13    80               22                      5813400                      65                     0                         0                         1                         7 + 24 part          732102            92.182               1.001              0.00               968.51                    19.15                 5736 + 102 part     317067             5994750               93856   102431  47586   50755  21    20     49    45   
67_A78_contigs   132                  47                      45                      43                       37                       34                       6622663                 6605437                    6601455                    6590645                     6484696                     6392852                     51         681746          6608281       6498072           66.21   66.35             295265  295265  125231  125231  8    8     17    17    63               23                      5385078                      56                     0                         0                         0                         1 + 26 part          645219            91.643               1.001              0.00               549.65                    11.91                 5706 + 106 part     486370             5945979               100451  100451  49661   52248  21    21     45    43   
67_C5_contigs    114                  27                      21                      21                       21                       18                       6505894                 6489630                    6477716                    6477716                     6477716                     6360668                     30         1054736         6491395       6498072           66.31   66.35             432683  432683  260061  260061  4    4     9     9     57               13                      5740359                      49                     0                         0                         0                         1 + 12 part          375071            93.972               1.002              0.00               541.63                    11.00                 5849 + 66 part      376219             6114504               164398  164398  84558   84558  13    13     27    27   
68_A80_contigs   140                  40                      34                      30                       27                       20                       6786345                 6762179                    6750144                    6725010                     6687839                     6423495                     50         899292          6769768       6498072           66.16   66.35             395882  408403  246347  246347  6    5     11    11    67               20                      6159042                      54                     0                         0                         0                         3 + 26 part          687801            93.527               1.001              0.00               551.56                    10.43                 5823 + 113 part     317107             6079201               115599  118510  72446   73355  20    19     39    37   
68_C6_contigs    145                  34                      26                      26                       25                       20                       6376982                 6352366                    6340174                    6340174                     6324323                     6133066                     44         1188341         6359360       6498072           66.14   66.35             409012  409012  252275  248060  5    5     10    11    77               15                      5189954                      55                     0                         0                         0                         0 + 16 part          522381            89.660               1.002              0.00               540.39                    9.90                  5599 + 99 part      303082             5835708               103661  103661  53362   51326  19    19     39    41   
69_A81_contigs   95                   38                      34                      33                       31                       28                       6620340                 6608543                    6597969                    6592758                     6564193                     6458073                     41         723508          6610602       6498072           66.21   66.35             354072  354072  140491  144232  6    6     14    13    63               18                      5307712                      54                     0                         0                         0                         0 + 20 part          644691            91.638               1.002              0.00               551.70                    11.92                 5715 + 100 part     485275             5960722               109295  109295  54754   56163  19    19     41    39   
69_C7_contigs    132                  34                      26                      26                       25                       20                       6375455                 6353231                    6340691                    6340691                     6325188                     6130198                     43         1044286         6359487       6498072           66.14   66.35             402236  402236  248139  211645  6    6     11    12    77               17                      5350626                      55                     0                         0                         0                         0 + 16 part          522475            89.656               1.002              0.00               543.95                    10.18                 5604 + 98 part      284647             5835846               103661  98823   56070   51326  19    20     39    41   
6_C13_contigs    266                  160                     120                     101                      81                       44                       6669377                 6638537                    6539140                    6400021                     6076400                     4742433                     177        496351          6651706       6498072           66.29   66.35             71946   72011   45872   47799   21   20    50    47    52               30                      2961790                      64                     0                         0                         1                         3 + 41 part          618199            92.758               1.001              0.00               546.93                    10.87                 5666 + 215 part     356034             6030759               52330   52968   23686   25746  36    35     84    80   
6_C86_contigs    139                  38                      33                      32                       31                       29                       6735930                 6713040                    6703550                    6698467                     6675989                     6614105                     44         676147          6717686       6498072           66.17   66.35             381600  381600  198768  205397  7    7     14    13    68               20                      5461819                      62                     0                         0                         0                         5 + 27 part          650713            93.181               1.002              0.00               948.36                    18.25                 5782 + 91 part      387860             6065383               103589  106317  53490   56158  21    19     43    40   
70_A82_contigs   119                  41                      36                      34                       31                       27                       6643214                 6626386                    6618838                    6608362                     6563232                     6408111                     44         819941          6629077       6498072           66.22   66.35             355333  355333  219419  219419  7    7     13    13    62               19                      5405388                      54                     0                         0                         1                         1 + 21 part          647994            91.953               1.001              0.00               549.27                    11.60                 5713 + 96 part      304813             5965678               108944  110584  50581   53765  19    18     40    38   
70_C9_contigs    126                  41                      30                      29                       27                       22                       6688914                 6669745                    6645742                    6640029                     6603662                     6396488                     48         1065830         6674909       6498072           66.12   66.35             440189  485258  258697  266469  6    5     11    10    61               18                      5886329                      60                     0                         0                         2                         9 + 23 part          644586            92.576               1.002              0.00               551.68                    11.55                 5763 + 107 part     445306             6028225               121834  123729  53993   56165  16    15     37    34   
71_A85_contigs   129                  38                      31                      29                       26                       17                       6785628                 6764007                    6749939                    6737391                     6682635                     6336616                     47         1049345         6770742       6498072           66.16   66.35             464823  464823  265674  265674  5    5     10    10    70               19                      6233103                      55                     0                         0                         1                         3 + 22 part          687920            93.520               1.001              0.00               553.71                    10.38                 5827 + 111 part     317107             6081735               114491  114794  69301   72446  20    19     39    37   
71_C11_contigs   168                  43                      37                      34                       34                       25                       6975756                 6949463                    6937094                    6919816                     6919816                     6592555                     51         889330          6954503       6498072           66.12   66.35             398203  398755  245299  266648  7    6     13    11    66               23                      6291180                      53                     0                         0                         0                         2 + 27 part          862867            93.572               1.002              0.00               537.86                    11.12                 5823 + 89 part      410259             6089220               106759  111140  47547   54694  19    16     43    37   
72_A86_contigs   175                  57                      47                      45                       39                       28                       6787228                 6759045                    6738199                    6725651                     6635919                     6223043                     70         650750          6768843       6498072           66.16   66.35             267308  316402  147787  184226  8    7     16    15    66               22                      5468414                      50                     0                         0                         1                         5 + 30 part          686712            93.502               1.001              0.00               550.80                    10.32                 5820 + 121 part     293119             6078223               90091   93654   48296   54873  24    22     49    45   
72_C16_contigs   117                  37                      27                      26                       26                       21                       6720532                 6701592                    6680990                    6675950                     6675950                     6486319                     43         680469          6706089       6498072           66.28   66.35             396648  396648  268119  288585  7    7     12    11    53               17                      5730725                      64                     0                         0                         0                         7 + 22 part          655797            92.994               1.001              0.00               558.15                    12.64                 5789 + 85 part      412008             6036957               142635  142635  68512   71141  14    14     32    30   
73_A90_contigs   361                  271                     196                     158                      87                       36                       6718479                 6689935                    6496047                    6215857                     5078553                     3258969                     291        251019          6705555       6498072           66.17   66.35             48130   50356   25673   28504   38   36    86    80    56               35                      2086176                      50                     0                         0                         4                         8 + 54 part          663064            92.760               1.002              0.00               551.31                    10.40                 5579 + 347 part     166190             6032875               32944   33280   13552   15045  57    54     138   128  
