All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     10_C21_contigs  10_C92_contigs   11_C145_contigs  11_C22_contigs   12_C147_contigs  12_C31_contigs   13_C149_contigs  13_C32_contigs   14_C33_contigs   14_C94_contigs  15_C44_contigs   15_C96_contigs   16_C100_contigs  16_C45_contigs   17_C102_contigs  17_C64_contigs  18_C119_contigs  18_C65_contigs   19_C120_contigs  19_C67_contigs  1_C3_contigs     20_C123_contigs  20_C68_contigs  21_C124_contigs  21_C78_contigs  22_C128_contigs  22_C79_contigs   23_C131_contigs  23_C80_contigs   24_C133_contigs  24_C81_contigs   25_C134_contigs  25_C83_contigs   26_A1_contigs   26_C84_contigs   27_A2_contigs    27_C85_contigs  28_A12_contigs  28_C87_contigs   29_A19_contigs   29_C95_contigs   2_C155_contigs  2_C4_contigs     30_A36_contigs  30_C97_contigs   31_C55_contigs  31_C98_contigs   32_C56_contigs  32_C99_contigs   33_C101_contigs  33_C57_contigs  34_C103_contigs  34_C58_contigs  35_C106_contigs  35_C59_contigs  36_C108_contigs  36_C60_contigs  37_C115_contigs  37_C61_contigs   38_B3_contigs   38_C116_contigs  39_B16_contigs  39_C118_contigs  3_C76_contigs   3_C8_contigs     40_B34_contigs  40_C125_contigs  41_B37_contigs  41_C126_contigs   42_B62_contigs  42_C127_contigs  43_B113_contigs  43_C129_contigs  44_B114_contigs  44_C143_contigs   45_B191_contigs  45_C144_contigs  46_B199_contigs  46_C146_contigs  47_C148_contigs  47_C63_contigs  48_A3_contigs    48_C66_contigs  49_A4_contigs    49_C69_contigs  4_C10_contigs     4_C77_contigs   50_A5_contigs    50_C23_contigs  51_A46_contigs  51_C25_contigs   52_A48_contigs   52_C29_contigs   53_A52_contigs   53_C30_contigs   54_A53_contigs  54_C36_contigs   55_A54_contigs   55_C42_contigs  56_A55_contigs  56_C43_contigs   57_A56_contigs  57_C49_contigs   58_A58_contigs  58_C51_contigs  59_A60_contigs   59_C54_contigs   5_C12_contigs    5_C82_contigs    60_A70_contigs   60_C150_contigs  61_A71_contigs   61_C151_contigs  62_A72_contigs  62_C153_contigs  63_A73_contigs  63_C71_contigs  64_A75_contigs  64_C73_contigs  65_A76_contigs  65_C74_contigs  66_A77_contigs   66_C2_contigs    67_A78_contigs   67_C5_contigs   68_A80_contigs   68_C6_contigs   69_A81_contigs   69_C7_contigs   6_C13_contigs    6_C86_contigs   70_A82_contigs  70_C9_contigs    71_A85_contigs   71_C11_contigs  72_A86_contigs   72_C16_contigs  73_A90_contigs   73_C18_contigs   74_A91_contigs   74_C20_contigs  75_A92_contigs   75_C135_contigs  76_A95_contigs   76_C137_contigs  77_A97_contigs   77_C139_contigs  78_A100_contigs  78_C141_contigs  79_A106_contigs  79_C142_contigs  7_C14_contigs    7_C88_contigs   80_A107_contigs   80_C104_contigs  81_A119_contigs  81_C105_contigs  82_A122_contigs  82_C107_contigs  83_A123_contigs  83_C109_contigs  84_A126_contigs  84_C110_contigs  85_A130_contigs  85_C111_contigs  86_A134_contigs  86_C112_contigs  87_A137_contigs  87_C114_contigs  88_C117_contigs  89_A141_contigs  89_C156_contigs  8_C15_contigs   8_C89_contigs   90_A144_contigs  90_C158_contigs  91_A147_contigs  91_C159_contigs  92_A148_contigs  92_C160_contigs  93_A151_contigs  93_C161_contigs  94_A154_contigs  94_C164_contigs  95_A156_contigs  95_C167_contigs  96_A163_contigs  96_C168_contigs  9_C17_contigs   9_C91_contigs  
# unaligned mis. contigs     0               2                2                0                0                5                0                3                0                0               0                0                0                0                0                1               1                0                0                0               1                0                0               27               0               0                2                1                3                2                3                0                4                1               3                0                2               2               1                3                1                0               1                2               1                0               2                0               4                0                0               0                0               8                0               4                2               1                0                0               0                3               0                1               7                0               1                0               41                1               1                0                0                0                45                0                26               1                0                1                1               3                0               3                3               5                 0               5                0               0               1                1                2                1                2                1               2                0                0               0               0                0               0                0               0               4                6                8                2                2                2                2                0                0               1                0               0               1               0               0               0               1                1                0                0               0                0               0                0               1                0               1               2                1                0               1                0               4                1                2                1               2                0                2                0                0                1                1                1                1                2                0                0               5                 0                5                0                4                0                3                0                9                0                11               0                9                0                3                2                0                6                0                0               0               2                1                4                0                6                0                6                1                8                0                7                1                3                2                0               1              
# unaligned contigs          5 + 32 part     14 + 35 part     7 + 28 part      7 + 40 part      8 + 18 part      15 + 52 part     4 + 22 part      13 + 46 part     13 + 29 part     2 + 16 part     22 + 57 part     17 + 32 part     25 + 15 part     27 + 59 part     1 + 18 part      1 + 19 part     10 + 34 part     0 + 22 part      7 + 30 part      0 + 17 part     2 + 32 part      8 + 27 part      0 + 13 part     50 + 136 part    7 + 18 part     14 + 15 part     3 + 25 part      0 + 23 part      2 + 30 part      2 + 27 part      2 + 46 part      1 + 26 part      7 + 41 part      4 + 22 part     2 + 30 part      5 + 16 part      10 + 31 part    28 + 33 part    6 + 44 part      41 + 55 part     18 + 38 part     0 + 14 part     1 + 24 part      5 + 24 part     13 + 37 part     2 + 27 part     28 + 40 part     2 + 28 part     22 + 42 part     1 + 22 part      2 + 29 part     1 + 25 part      2 + 29 part     61 + 62 part     2 + 26 part     21 + 52 part     3 + 29 part     5 + 43 part      6 + 29 part      4 + 19 part     5 + 18 part      2 + 24 part     1 + 16 part      4 + 32 part     10 + 45 part     2 + 25 part     23 + 28 part     4 + 18 part     112 + 152 part    1 + 20 part     15 + 20 part     2 + 25 part      1 + 17 part      3 + 14 part      110 + 160 part    0 + 16 part      36 + 138 part    20 + 40 part     9 + 17 part      8 + 24 part      9 + 24 part     14 + 54 part     1 + 12 part     14 + 57 part     5 + 29 part     83 + 78 part      5 + 29 part     14 + 47 part     6 + 33 part     3 + 29 part     2 + 24 part      4 + 36 part      3 + 31 part      2 + 29 part      4 + 25 part      2 + 23 part     17 + 33 part     3 + 36 part      15 + 19 part    2 + 22 part     20 + 61 part     2 + 24 part     12 + 28 part     3 + 21 part     6 + 23 part     11 + 56 part     34 + 52 part     10 + 52 part     1 + 28 part      3 + 38 part      12 + 26 part     2 + 39 part      7 + 32 part      7 + 28 part     18 + 44 part     2 + 21 part     0 + 19 part     3 + 23 part     0 + 16 part     2 + 20 part     0 + 19 part     3 + 21 part      7 + 24 part      1 + 26 part      1 + 12 part     3 + 26 part      0 + 16 part     0 + 20 part      0 + 16 part     3 + 41 part      5 + 27 part     1 + 21 part     9 + 23 part      3 + 22 part      2 + 27 part     5 + 30 part      7 + 22 part     8 + 54 part      11 + 30 part     3 + 37 part      5 + 26 part     3 + 38 part      2 + 18 part      3 + 37 part      1 + 11 part      3 + 30 part      8 + 33 part      1 + 19 part      8 + 33 part      3 + 34 part      4 + 36 part      2 + 40 part      1 + 14 part     195 + 92 part     2 + 26 part      8 + 48 part      8 + 15 part      14 + 53 part     3 + 27 part      10 + 46 part     9 + 18 part      13 + 75 part     4 + 21 part      27 + 92 part     4 + 23 part      13 + 71 part     4 + 25 part      8 + 39 part      8 + 31 part      2 + 18 part      11 + 70 part     2 + 18 part      2 + 25 part     0 + 10 part     10 + 41 part     18 + 43 part     8 + 46 part      2 + 20 part      12 + 62 part     11 + 27 part     11 + 65 part     0 + 17 part      11 + 71 part     4 + 24 part      12 + 65 part     14 + 31 part     9 + 45 part      7 + 21 part      7 + 23 part     9 + 31 part    
Unaligned length             777982          912645           1013120          757071           834086           873902           659958           876461           877821           803614          604926           1106762          731849           603659           224527           378867          934457           425553           596720           427329          337103           637406           425887          1752639          334842          715010           773847           896222           773307           659560           772768           660479           811505           983286          773614           492830           771376          906362          770226           812045           1118635          284987          331318           474407          1117181          299121          1131106          299355          1115033          225900           300006          225074           300249          1094021          300341          868133           300972          813666           797169           543953          218467           603474          222314           1019947         640654           831669          642575           523602          1273051           403315          663624           603331           222286           342007           1461802           244382           1446148          783028           835118           834007           680600          634084           378659          632913           440707          565485            649908          631507           778470          777664          747968           774516           724420           772164           724810           773317          1126571          774388           845378          776368          560302           774293          1014486          774357          475682          770373           894398           861178           773016           772641           777108           772033           486435           775222          838148           776027          300495          775855          702747          772752          288253          688132           732102           645219           375071          687801           522381          644691           522475          618199           650713          647994          644586           687920           862867          686712           655797          663064           792825           686661           525925          685079           458892           686151           456881           687302           528134           647388           528137           686194           810024           617945           454753          667916            759176           1006446          334958           1002144          709546           1006359          335170           1001185          808006           1001061          819005           965540           769226           1006706          815468           216402           1003163          532096           620456          231418          1005615          837842           1007276          481744           1002976          489576           1003917          274536           1003482          323427           1001821          595074           438886           751458           656306          790203         
Genome fraction (%)          89.354          92.932           92.002           88.957           93.528           92.480           94.086           92.861           93.022           93.535          91.084           89.876           88.592           91.024           93.517           91.740          88.753           91.782           93.663           91.778          93.835           92.978           91.794          94.318           91.005          92.706           91.957           92.247           91.937           92.243           91.902           92.272           91.842           93.559          91.947           93.014           90.657          88.746          90.507           89.174           91.969           90.902          88.775           92.202          91.982           93.459          91.998           93.460          91.930           91.561           93.446          93.456           93.429          94.343           93.444          93.821           93.448          94.276           91.787           93.953          92.523           91.174          92.504           91.374          92.072           93.034          87.822           92.229          90.622            91.915          92.727           89.586           92.469           92.833           91.099            92.335           93.764           91.183           93.541           93.558           93.036          92.655           91.727          92.594           91.947          88.034            93.177          92.640           89.376          93.481          92.129           93.356           92.837           93.505           92.841           93.565          91.817           93.424           91.700          93.482          93.646           93.519          93.541           93.519          91.071          93.182           89.959           92.885           91.955           93.384           92.307           93.332           91.920           93.531          93.734           93.503          91.638          93.523          91.841          93.531          93.485          93.555           92.182           91.643           93.972          93.527           89.660          91.638           89.656          92.758           93.181          91.953          92.576           93.520           93.572          93.502           92.994          92.760           94.197           93.473           92.041          93.344           90.723           93.479           91.587           93.525           93.054           91.625           93.056           93.519           92.861           92.740           91.288          91.928            94.351           87.365           90.991           87.325           91.395           87.366           90.985           86.840           92.743           86.106           92.706           86.968           92.667           87.395           94.292           92.524           87.163           93.679           92.963          92.361          87.388           93.721           87.367           93.658           87.231           91.950           87.234           92.397           87.134           89.110           87.195           91.931           87.812           93.610           92.969          92.275         
Duplication ratio            1.001           1.008            1.001            1.002            1.001            1.001            1.001            1.001            1.001            1.001           1.002            1.001            1.000            1.003            1.001            1.000           1.002            1.001            1.001            1.001           1.001            1.001            1.001           1.010            1.001           1.001            1.003            1.001            1.002            1.001            1.002            1.001            1.003            1.002           1.002            1.001            1.001           1.001           1.001            1.006            1.001            1.001           1.002            1.001           1.001            1.003           1.001            1.003           1.001            1.001            1.003           1.001            1.003           1.002            1.003           1.001            1.003           1.001            1.003            1.001           1.001            1.001           1.001            1.001           1.002            1.001           1.001            1.001           1.038             1.001           1.001            1.001            1.001            1.002            1.057             1.001            1.008            1.002            1.001            1.001            1.001           1.001            1.001           1.001            1.001           1.003             1.002           1.001            1.001           1.001           1.001            1.001            1.001            1.002            1.001            1.002           1.002            1.001            1.001           1.001           1.003            1.001           1.001            1.002           1.001           1.002            1.002            1.002            1.002            1.031            1.002            1.002            1.001            1.001           1.002            1.002           1.001           1.002           1.001           1.002           1.001           1.001            1.001            1.001            1.002           1.001            1.002           1.002            1.002           1.001            1.002           1.001           1.002            1.001            1.002           1.001            1.001           1.002            1.002            1.001            1.002           1.001            1.001            1.001            1.003            1.001            1.003            1.001            1.003            1.001            1.007            1.001            1.001           1.019             1.001            1.001            1.001            1.001            1.001            1.001            1.001            1.003            1.002            1.002            1.001            1.002            1.002            1.001            1.001            1.001            1.002            1.002            1.001           1.001           1.001            1.002            1.001            1.002            1.002            1.002            1.002            1.001            1.002            1.002            1.002            1.003            1.001            1.001            1.001           1.002          
# N's per 100 kbp            0.00            0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00            0.00             0.00             0.00             0.00             0.00             0.00            0.00             0.00             0.00             0.00            0.00             0.00             0.00            0.00             0.00            0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00            0.00             0.00             0.00            0.00            0.00             0.00             0.00             0.00            0.00             0.00            0.00             0.00            0.00             0.00            0.00             0.00             0.00            0.00             0.00            0.00             0.00            0.00             0.00            0.00             0.00             0.00            0.00             0.00            0.00             0.00            0.00             0.00            0.00             0.00            0.00              0.00            0.00             0.00             0.00             0.00             0.00              0.00             0.00             0.00             0.00             0.00             0.00            0.00             0.00            0.00             0.00            0.00              0.00            0.00             0.00            0.00            0.00             0.00             0.00             0.00             0.00             0.00            0.00             0.00             0.00            0.00            0.00             0.00            0.00             0.00            0.00            0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00            0.00             0.00            0.00            0.00            0.00            0.00            0.00            0.00             0.00             0.00             0.00            0.00             0.00            0.00             0.00            0.00             0.00            0.00            0.00             0.00             0.00            0.00             0.00            0.00             0.00             0.00             0.00            0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00            0.00              0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00            0.00            0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00             0.00            0.00           
# mismatches per 100 kbp     543.22          600.20           975.14           556.79           546.20           544.10           579.51           542.34           544.58           540.00          570.02           974.14           545.27           571.37           570.85           545.98          992.35           546.35           536.21           546.63          540.85           552.94           546.08          1089.25          528.46          552.51           970.65           976.23           969.95           975.15           968.34           974.11           971.40           537.05          969.91           959.73           533.80          521.73          531.88           601.91           973.16           540.13          539.83           511.70          974.34           569.47          972.72           569.41          972.53           571.69           568.71          568.78           568.28          547.98           573.79          550.13           566.75          550.09           954.77           542.43          533.43           954.95          530.61           952.87          550.55           541.70          935.57           927.59          864.18            556.48          554.33           2163.40          533.11           558.06           905.66            515.30           965.62           1045.44          546.38           546.38           547.50          572.65           546.01          575.05           570.10          545.11            948.60          575.12           544.31          539.62          974.16           540.19           575.17           544.42           576.01           545.50          966.40           538.15           928.67          542.18          579.64           542.03          541.10           541.72          559.82          558.53           564.96           537.12           970.18           557.04           968.02           544.83           521.68           538.39          543.28           544.05          546.78          543.18          541.57          544.83          551.30          551.74           968.51           549.65           541.63          551.56           540.39          551.70           543.95          546.93           948.36          549.27          551.68           553.71           537.86          550.80           558.15          551.31           549.45           550.78           552.74          550.73           609.47           550.81           508.99           552.69           639.26           548.59           639.11           553.52           593.14           545.36           972.18          576.98            546.34           1109.18          529.10           1107.92          953.12           1109.40          527.38           1108.42          523.69           1103.96          521.87           1106.89          520.86           1110.63          550.50           532.36           1108.42          528.85           546.67          509.71          1109.51          543.79           1108.11          527.28           1110.22          522.61           1109.30          512.50           1108.43          640.01           1109.00          981.18           495.15           537.17           554.81          971.68         
# indels per 100 kbp         10.90           11.23            19.22            12.21            11.48            11.32            12.63            11.37            11.12            11.12           12.16            19.16            10.89            12.12            12.10            10.99           18.74            11.12            10.29            11.13           10.81            12.28            11.03           21.50            10.32           11.35            21.17            19.12            21.36            19.90            21.45            19.71            21.55            10.63           21.42            18.45            11.76           9.95            11.24            12.94            19.24            10.68           11.03            11.40           19.11            11.31           19.12            11.35           19.22            12.24            11.28           12.09            11.17           10.33            12.32           10.91            11.07           10.72            19.31            10.94           11.44            19.09           11.38            19.00           11.60            10.14           18.42            19.04           14.84             10.16           11.73            45.37            11.50            10.74            16.10             10.50            18.79            19.92            11.47            11.46            11.10           10.86            11.02           11.28            11.08           11.05             18.18           11.05            10.85           11.44           19.29            11.44            10.77            11.75            10.84            12.12           18.79            11.27            18.85           12.05           12.80            11.80           11.48            11.77           11.44           11.00            11.00            11.22            21.29            11.95            18.87            11.87            10.73            11.34           10.28            11.93           11.77           12.04           10.54           12.11           11.61           10.25            19.15            11.91            11.00           10.43            9.90            11.92            10.18           10.87            18.25           11.60           11.55            10.38            11.12           10.32            12.64           10.40            11.34            10.37            11.79           10.27            12.72            10.45            10.40            10.43            13.38            11.87            13.36            10.53            11.12            10.75            19.84           10.45             10.16            22.69            10.52            22.59            18.74            22.67            10.32            22.63            10.27            22.32            10.09            22.77            10.23            22.91            10.87            11.41            22.69            10.94            11.06           10.83           22.73            10.23            22.71            10.80            22.85            10.74            22.70            9.89             22.82            13.25            22.70            19.52            10.41            10.77            12.50           19.05          
# genomic features           5586 + 85 part  5783 + 102 part  5732 + 108 part  5533 + 110 part  5817 + 97 part   5516 + 333 part  5866 + 82 part   5674 + 181 part  5746 + 103 part  5823 + 97 part  5603 + 153 part  5623 + 104 part  5586 + 76 part   5602 + 148 part  5816 + 66 part   5702 + 88 part  5505 + 127 part  5690 + 102 part  5812 + 107 part  5698 + 91 part  5579 + 367 part  5795 + 88 part   5706 + 88 part  5772 + 177 part  5674 + 76 part  5797 + 94 part   5683 + 107 part  5738 + 110 part  5680 + 100 part  5743 + 110 part  5611 + 171 part  5743 + 106 part  5634 + 143 part  5799 + 82 part  5681 + 103 part  5791 + 107 part  5610 + 92 part  5542 + 90 part  5579 + 102 part  5578 + 103 part  5722 + 113 part  5665 + 63 part  5505 + 145 part  5751 + 66 part  5727 + 111 part  5819 + 76 part  5727 + 113 part  5818 + 77 part  5721 + 116 part  5707 + 72 part   5820 + 77 part  5802 + 82 part   5818 + 79 part  5813 + 122 part  5822 + 78 part  5614 + 325 part  5816 + 79 part  5774 + 158 part  5666 + 104 part  5831 + 88 part  5754 + 57 part   5671 + 92 part  5759 + 56 part   5676 + 94 part  5556 + 309 part  5752 + 89 part  5490 + 87 part   5756 + 80 part  3911 + 1984 part  5757 + 73 part  5786 + 99 part   5507 + 138 part  5751 + 56 part   5782 + 97 part   2844 + 3046 part  5724 + 66 part   5750 + 169 part  5681 + 114 part  5823 + 94 part   5810 + 103 part  5803 + 91 part  5736 + 121 part  5707 + 85 part  5713 + 148 part  5709 + 76 part  4590 + 1067 part  5772 + 92 part  5747 + 114 part  5594 + 84 part  5798 + 87 part  5728 + 106 part  5756 + 129 part  5769 + 109 part  5767 + 112 part  5781 + 102 part  5782 + 96 part  5719 + 107 part  5777 + 106 part  5698 + 95 part  5794 + 86 part  5765 + 155 part  5792 + 90 part  5812 + 110 part  5776 + 95 part  5697 + 84 part  5637 + 226 part  5624 + 102 part  5578 + 339 part  5679 + 105 part  5700 + 180 part  5751 + 109 part  5689 + 193 part  5723 + 82 part   5791 + 88 part  5793 + 98 part   5792 + 92 part  5695 + 72 part  5787 + 83 part  5719 + 70 part  5788 + 86 part  5811 + 93 part  5832 + 108 part  5736 + 102 part  5706 + 106 part  5849 + 66 part  5823 + 113 part  5599 + 99 part  5715 + 100 part  5604 + 98 part  5666 + 215 part  5782 + 91 part  5713 + 96 part  5763 + 107 part  5827 + 111 part  5823 + 89 part  5820 + 121 part  5789 + 85 part  5579 + 347 part  5824 + 100 part  5765 + 172 part  5731 + 75 part  5742 + 197 part  5629 + 88 part   5790 + 147 part  5704 + 45 part   5812 + 133 part  5784 + 76 part   5729 + 86 part   5786 + 75 part   5772 + 167 part  5782 + 105 part  5681 + 201 part  5648 + 80 part  4200 + 1699 part  5841 + 89 part   5396 + 130 part  5672 + 78 part   5370 + 154 part  5684 + 93 part   5401 + 133 part  5671 + 76 part   5209 + 313 part  5737 + 69 part   4988 + 517 part  5725 + 72 part   5244 + 280 part  5720 + 77 part   5414 + 114 part  5831 + 95 part   5746 + 59 part   5285 + 243 part  5824 + 77 part   5796 + 88 part  5735 + 53 part  5407 + 121 part  5790 + 102 part  5399 + 134 part  5816 + 76 part   5307 + 221 part  5722 + 87 part   5305 + 217 part  5716 + 58 part   5274 + 252 part  5564 + 96 part   5305 + 228 part  5731 + 102 part  4972 + 715 part  5812 + 71 part   5798 + 85 part  5735 + 106 part
Largest alignment            306592          339298           317067           306592           302991           158923           403398           207085           277211           362093          136841           317067           411948           127530           341358           370587          272772           383298           384708           411527          131764           303184           391170          260342           425093          421912           286418           317066           286422           317068           217829           317068           230750           486217          286422           341201           365763          370322          247842           382864           317067           409699          255428           308422          317217           376812          317067           376812          317067           341103           346646          339650           376812          300083           466678          183521           376812          274819           301406           315520          429980           338684          563622           286512          218038           334187          316379           376141          55410             411742          293143           400323           504654           501787           30938             385037           286483           286712           362092           362092           301830          259030           411521          200996           315415          28944             388114          339315           306592          357805          317055           220899           316673           268474           316946           440048          317067           357805           375635          485951          181093           276890          296244           439618          326027          134300           244159           158955           286423           233827           317067           293559           378243           357805          277212           485981          376940          375655          376150          440387          384585          317107           317067           486370           376219          317107           303082          485275           284647          356034           387860          304813          445306           317107           410259          293119           412008          166190           320957           226100           328624          192608           311955           207745           376094           317107           375824           486370           375824           274936           316946           301831           376196          18824             362091           376480           402572           376847           320670           376577           339240           139790           452438           85803            388492           210562           276986           376480           302239           387345           217264           500986           412073          403422          330853           302658           220494           376235           376480           331410           217880           293066           197716           375724           172243           376022           99052            486211           412071          317067         
Total aligned length         5812156         6080283          5983388          5792121          6084325          6012102          6115364          6035019          6047035          6082079         5919918          5844576          5758998          5917195          6079442          5951406         5777505          5966870          6088019          5955548         6102936          6047647          5955721         6183733          5915448         6027500          5986082          5999567          5982551          5998459          5979036          6001172          5980559          6076265         5984804          6051414          5892965         5773055         5882876          5816468          5983255          5906795         5774611          5982957         5983295          6091202         5983708          6092722         5979623          5952921          6086051         6075091          6086562         6138225          6090364         6101287          6088369         6132860          5976855          6105745         6018289          5930122         6014670          5943950         5990332          6051252         5709259          5996166         6100774           5975896         6029045          5823744          6010875          6040128          6237320           6002718          6138379          5933149          6083249          6084986          6051525         6022068          5950820         6020133          5976413         5726134           6064259         6021437          5812825         6077464         5992024          6058005          6036522          6086134          6037233          6078534         5974069          6063762          5963671         6066552         6087258          6072065         6081517          6082954         5922644         6054945          5850549          6041449          5983053          6255048          6005238          6073938          5976243          6082056         6096811          6085386         5944076         6073184         5959865         6075917         6078826         6082427          5994750          5945979          6114504         6079201          5835708         5960722          5835846         6030759          6065383         5965678         6028225          6081735          6089220         6078223          6036957         6032875          6125814          6076727          5993066         6069461          5900753          6079157          5967380          6079437          6057670          5943065          6058312          6079738          6068770          6029980          5931328         6072222           6136793          5680824          5915436          5676669          5943514          5679498          5918061          5654538          6035986          5599153          6028901          5657353          6027863          5681284          6133586          6014994          5669356          6095970          6031136         6005064         5680667          6096586          5682001          6097488          5677863          5982466          5674191          6007174          5667216          5798110          5672478          5991405          5708588          6075543          6031583         6002595        
NA50                         92785           102414           88807            84588            108905           32078            125155           57544            98210            124947          48705            92014            128103           49667            130878           165018          68260            121815           100381           152984          31818            107825           169485          47523            157464          121811           95370            92014            93032            102586           59000            92789            68124            115912          93032            94425            106748          98450           72569            81414            70596            164488          67424            138093          92014            157236          88807            157423          88807            124809           157235          126436           157424          78014            164182          32151            143207          68338            90333            130123          171732           102436          184609           84586           33936            101171          102431           117363          2555              164147          121811           81854            160052           119694           1341              114310           58530            85759            118862           108905           112839          94256            169485          76450            138999          6121              99284           102400           90084           115911          102595           89946            94068            90743            121820           104475          88807            101128           102417          115910          52769            101744          91005            97955           116222          30805            68391            33095            96634            56036            102585           56029            111784           102693          105154           108946          121809          104786          117671          104786          138384          116264           93856            100451           164398          115599           103661          109295           103661          52330            103589          108944          121834           114491           106759          90091            142635          32944            92781            73700            114413          57872            117671           76885            154625           98333            101225           122856           101011           74765            102414           55825            158976          3750              113931           63401            156284           57906            103760           68295            126502           27275            108877           17313            105957           33276            106544           70596            110432           171773           41832            154619           114392          158969          71625            98450            66864            142650           45277            117876           41795            114721           35121            109392           41794            91694            14254            117679           121803          92820          
NGA50                        92785           116935           92014            90788            118862           33431            126219           60575            102916           136717          48705            94275            128103           49667            130878           165018          68320            117600           107076           152984          31631            110297           169485          63402            156284          127510           103754           102431           95369            104525           63817            102433           69514            126419          96634            100301           108875          103714          84461            81414            87856            160610          63816            138093          102431           157236          93856            157423          92789            114348           157235          112153           157236          89730            164182          36440            143207          74929            92202            130123          168643           102436          184609           90275           35389            106544          102431           117363          3072              164147          127512           79263            159102           117671           1592              114286           73130            86572            124136           124019           114570          99531            169485          84712            125290          5965              103595          103802           90811           133324          104525           94237            102414           94239            131947           108946          93151            102693           104194          124600          55380            104475          106170           102695          116222          31769            70590            34320            103750           60545            104525           58836            111784           108982          106857           117679          114555          110295          125700          115910          138384          118510           102431           100451           164398          118510           103661          109295           98823           52968            106317          110584          123729           114794           111140          93654            142635          33280            110236           74818            114413          60487            117671           80866            154625           103272           101225           128389           101011           79390            116935           56775            150114          3882              124751           67128            156284           59396            106187           69440            121834           28110            109475           17423            106544           33629            109189           73799            124751           164002           43566            154619           114392          155952          73799            106614           69440            154613           45649            117876           44036            114721           36491            104610           44036            91694            13323            126645           142635          102431         
NA75                         50455           41894            40418            40008            52775            11779            64361            23830            49232            53307           24981            34002            52877            23500            74903            74835           26775            66089            54701            70734           14493            64055            98451           3672             68991           63080            49441            48385            49441            50730            28974            50730            33723            49732           51044            53423            46720           44565           36200            31162            30479            73595           29665            68337           32330            79951           30479            72453           38150            70370            72886           70586            79951           38153            85839           12490            73631           28760            43296            55082           90221            53428           103343           42207           15795            52701           51517            64043           851               71197           58762            30367            93079            71117            668               71433            12814            40097            51133            50738            64058           39617            98434           33890            72218           3206              52775           54272            51082           54757           48385            32239            47577            40000            50645            47986           33012            38138            53689           51042           29367            47526           40910            46844           68918           12017            28989            12304            49441            20374            49494            21597            64379            47994           38892            56161           68917           51042           68492           50581           74770           69301            47586            49661            84558           72446            53362           54754            56070           23686            53490           50581           53993            69301            47547           48296            68512           13552            47640            32234            67777           25856            54874            33049            71117            48542            48279            58163            48388            32221            47577            22580            56067           1891              53880            25407            68991            21028            50755            24271            68338            10479            64071            5636             60123            11866            49632            26542            49624            90033            12696            64119            63894           82566           26952            38892            25763            58852            15458            66200            15094            69252            14668            64427            14929            57499            5941             56162            64457           48081          
NGA75                        51082           50620            51203            41343            61171            14890            68514            30407            58336            68504           25242            49494            52877            23740            70586            68550           32027            59388            57994            70373           13717            68338            94733           26962            59255           72175            53495            52953            53495            52077            32815            53551            36948            70371           53439            53631            49236           52476           39252            36040            49494            68919           23723            68337           51771            73631           49494            68521           50730            58218            68521           68462            73631           54192            73631           16732            72571           34115            52442            57941           84572            53428           91725            48385           16674            64119           50730            64043           1423              67547           63080            30247            84572            70371            978               63389            30376            45627            58274            57560            68538           46686            74391           36717            71134           2950              54656           56162            52514           63946           52953            36899            50645            49629            62000            56162           50755            45583            63990           58105           31582            57047           56086            51042           62185           14618            31749            14572            53495            29351            53647            25809            64379            53122           50472            68072           58045           58105           70371           56309           73352           73677            50755            52248            84558           73355            51326           56163            51326           25746            56158           53765           56165            72446            54694           54873            71141           15045            64071            35589            68443           29891            49389            38179            69019            54597            49993            68539            50747            33774            51524            25447            53652           2134              65807            26952            63220            23488            53647            27669            63345            11526            68584            6169             68376            12977            60123            29783            64071            76428            14677            66575            64122           78951           39527            50472            27432            63816            17115            66200            16842            61404            16055            50692            16763            58654            5038             68325            68539           51203          
LA50                         19              19               22               22               19               67               17               34               21               16              42               22               16               43               15               13              27               16               19               14              62               19               12              43               13              16               21               23               23               20               37               21               30               17              22               20               20              20              25               22               26               12              28               16              24               15              24               15              24               17               15              16               14              25               13              58               15              31               24               17              13               20              12               24              49               20              20               16              712               14              17               22               11               14               1647              15               34               23               18               18               17              24               12              27               14              302               22              20               21              18              20               25               20               25               17               19              23               21               21              16              40               22              24               20              15              66               30               61               21               38               20               39               17               20              22               17              15              19              16              18              14              19               21               21               13              20               19              19               19              36               21              19              16               20               19              24               14              57               20               33               17              32               15               28               13               22               18               15               18               29               20               35               15              556               18               31               14               33               19               30               15               65               18               101              20               53               21               27               18               12               47               13               16              12              27               22               32               14               41               16               46               16               49               18               45               18               122              17               15              21             
